Targets,K-Steering,CAA,DCT
"casual, cautious",0.24720044,0.23137113,0.16388567
"casual, concise",0.1742853,-0.13008572,0.15171082
"casual, empathetic",0.019850478,0.13411635,0.10071239
"casual, expert",0.23937327,0.004167142,0.23378831
"cautious, concise",0.2944734,0.29312173,0.18416569
"cautious, empathetic",0.13655089,0.113720074,-0.037299544
"cautious, expert",0.21243407,0.30436063,0.13420433
"concise, empathetic",0.018225856,0.16549827,0.09539464
"concise, expert",0.28665176,0.026950154,0.21738476
"empathetic, expert",0.088703364,0.05927995,0.045322776
