Targets,K-Steering,CAA,DCT
"casual, cautious",0.12906687,0.11103954,0.12759879
"casual, concise",0.11310468,-0.122782305,0.08519161
"casual, empathetic",0.06882783,0.053232376,0.05755067
"casual, expert",0.15547268,0.015388336,0.119532555
"cautious, concise",0.13150215,0.078315295,0.11893806
"cautious, empathetic",0.04828234,0.03247877,0.012898564
"cautious, expert",0.12372677,0.12360153,0.107358485
"concise, empathetic",0.07659282,0.038464546,0.0358679
"concise, expert",0.22984847,0.047253113,0.1523444
"empathetic, expert",0.10780725,0.107483886,0.059279412
