Targets,alpha_grad,alpha_caa,alpha_dct,best_k_layer,best_caa_layer
"('casual', 'cautious')",14.078125,4.59296875,280.07265624999997,31,30
"('casual', 'concise')",17.073437499999997,3.844140625,136.08671875,31,30
"('casual', 'empathetic')",17.073437499999997,4.842578124999999,184.08203125,31,30
"('casual', 'expert')",14.57734375,6.58984375,200.08046875000002,31,30
"('cautious', 'concise')",18.071875,3.0953125,240.0765625,31,30
"('cautious', 'empathetic')",15.575781249999999,1.847265625,256.075,31,30
"('cautious', 'expert')",8.58671875,2.845703125,248.07578124999998,31,30
"('concise', 'empathetic')",21.067187500000003,2.5960937499999996,160.08437500000002,31,30
"('concise', 'expert')",18.071875,3.344921875,232.07734375,31,30
"('empathetic', 'expert')",19.56953125,4.343359375,280.07265624999997,31,30
