Targets,K-Steering,CAA,DCT
"Appeal to Precedent, Empirical Grounding",0.3483087,0.1283514,0.1119844
"Appeal to Precedent, Moral Framing",0.12232902,0.19029495,0.24134514
"Appeal to Precedent, Refutation by Distinction",0.18632962,0.04677316,0.16437104
"Appeal to Precedent, Straw Man Reframing",0.26912174,0.23299961,0.08033688
"Empirical Grounding, Moral Framing",0.17768115,0.16007538,0.20506802
"Empirical Grounding, Refutation by Distinction",0.339104,0.3353446,0.12650299
"Empirical Grounding, Straw Man Reframing",0.39159146,0.37681255,0.14833707
"Moral Framing, Refutation by Distinction",0.099214315,0.26172063,0.097580254
"Moral Framing, Straw Man Reframing",0.3679369,0.2331564,0.20211905
"Refutation by Distinction, Straw Man Reframing",0.24689835,0.42422748,0.23186761
