Targets,K-Steering,CAA,DCT
"casual, cautious",0.073164195,0.057835124,0.064791024
"casual, concise",0.1290379,-0.014096285,0.08600792
"casual, empathetic",0.32322323,0.32347533,0.36906582
"casual, expert",0.30093548,0.14529413,0.062465787
"cautious, concise",0.07758084,0.054802403,0.058352023
"cautious, empathetic",0.13191597,0.1020401,0.015617669
"cautious, expert",0.070547074,0.127602,0.033208907
"concise, empathetic",0.32808644,0.29563153,0.16481233
"concise, expert",0.35859516,0.010907302,0.12023409
"empathetic, expert",0.31160405,0.353845,0.35689408
