Targets,alpha_grad,alpha_caa,alpha_dct,best_k_layer,best_caa_layer
"('casual', 'cautious', 'concise')",38.09628906249999,1.287384033203125,48.0953125,31,31
"('casual', 'cautious', 'empathetic')",64.09375,1.0686553955078124,52.094921875,31,31
"('casual', 'cautious', 'expert')",50.095117187499994,1.2561370849609375,60.094140625,31,31
"('casual', 'concise', 'empathetic')",29.09716796875,1.72484130859375,28.097265625,31,31
"('casual', 'concise', 'expert')",832.01875,0.5687042236328126,36.096484374999996,31,31
"('casual', 'empathetic', 'expert')",36.096484374999996,0.412469482421875,28.097265625,31,31
"('cautious', 'concise', 'empathetic')",54.0947265625,0.7249389648437501,416.059375,31,31
"('cautious', 'concise', 'expert')",48.0953125,0.5062103271484375,64.09375,31,31
"('cautious', 'empathetic', 'expert')",80.0921875,0.3499755859375,116.08867187500002,31,31
"('concise', 'empathetic', 'expert')",18.598193359375,0.5062103271484375,20.098046875,31,31
