Targets,alpha_grad,alpha_caa,alpha_dct
"('Analogy Construction', 'Empirical Grounding')",0.001,0.001,0.1
"('Analogy Construction', 'Moral Framing')",0.001,2.133745849609375,0.1
"('Analogy Construction', 'Reductio ad Absurdum')",0.001,0.001,0.1
"('Analogy Construction', 'Straw Man Reframing')",0.001,3.181564666748047,0.1
"('Empirical Grounding', 'Moral Framing')",0.001,3.562412139892578,0.1
"('Empirical Grounding', 'Reductio ad Absurdum')",0.001,0.001,0.1
"('Empirical Grounding', 'Straw Man Reframing')",0.001,2.029256927490234,0.1
"('Moral Framing', 'Reductio ad Absurdum')",0.001,1.195298614501953,0.1
"('Moral Framing', 'Straw Man Reframing')",29.405354522705075,4.3983235168457036,0.1
"('Reductio ad Absurdum', 'Straw Man Reframing')",0.001,1.1201056518554686,0.1
