combination,alpha,steps,success_rate,strength,steering_score
precedent_vs_burden,0.02,,0.5,2.0,0.2
precedent_vs_burden,0.04,,0.65,2.65,0.34450000000000003
precedent_vs_burden,0.06,,0.9,3.4,0.612
precedent_vs_burden,0.1,,1.0,3.95,0.79
precedent_vs_burden,0.14,,1.0,4.0,0.8
precedent_vs_burden,0.18,,1.0,4.0,0.8
precedent_vs_burden,0.22,,0.7,2.8,0.39199999999999996
precedent_vs_burden,0.26,,0.9,3.85,0.6930000000000001
precedent_vs_burden,0.3,,0.15,1.7,0.051
precedent_vs_burden,0.34,,0.0,0.0,0.0
reductio_vs_concession,0.02,,0.25,0.95,0.0475
reductio_vs_concession,0.04,,0.4,1.3,0.10400000000000001
reductio_vs_concession,0.06,,0.6,2.05,0.24599999999999997
reductio_vs_concession,0.1,,0.5,1.75,0.175
reductio_vs_concession,0.14,,0.7,2.6,0.364
reductio_vs_concession,0.18,,1.0,3.95,0.79
reductio_vs_concession,0.22,,0.25,1.0,0.05
reductio_vs_concession,0.26,,0.0,0.1,0.0
reductio_vs_concession,0.3,,0.0,0.0,0.0
empirical_vs_reductio,0.02,,0.25,1.5,0.075
empirical_vs_reductio,0.04,,0.5,2.05,0.205
empirical_vs_reductio,0.06,,0.6,2.55,0.306
empirical_vs_reductio,0.1,,0.85,3.6,0.612
empirical_vs_reductio,0.14,,1.0,4.0,0.8
empirical_vs_reductio,0.18,,1.0,4.0,0.8
empirical_vs_reductio,0.22,,1.0,4.0,0.8
empirical_vs_reductio,0.26,,1.0,4.0,0.8
empirical_vs_reductio,0.3,,1.0,4.0,0.8
empirical_vs_reductio,0.34,,1.0,4.0,0.8
empirical_vs_reductio,0.38,,0.0,0.0,0.0
burden_vs_reductio,0.02,,0.8,2.6,0.41600000000000004
burden_vs_reductio,0.04,,0.7,2.8,0.39199999999999996
burden_vs_reductio,0.06,,0.6,2.95,0.35400000000000004
burden_vs_reductio,0.1,,0.9,3.55,0.639
burden_vs_reductio,0.14,,1.0,4.0,0.8
burden_vs_reductio,0.18,,0.6,2.5,0.3
burden_vs_reductio,0.22,,0.1,0.45,0.009
burden_vs_reductio,0.26,,0.05,0.25,0.0025000000000000005
burden_vs_reductio,0.3,,0.0,0.0,0.0
reductio_vs_analogy,0.02,,0.2,0.9,0.036
reductio_vs_analogy,0.04,,0.1,0.8,0.016
reductio_vs_analogy,0.06,,0.15,1.15,0.034499999999999996
reductio_vs_analogy,0.1,,0.15,1.05,0.0315
reductio_vs_analogy,0.14,,0.45,2.1,0.18900000000000003
reductio_vs_analogy,0.18,,0.7,3.1,0.434
reductio_vs_analogy,0.22,,0.9,3.8,0.684
reductio_vs_analogy,0.26,,0.35,1.75,0.12249999999999998
reductio_vs_analogy,0.3,,0.35,1.8,0.126
reductio_vs_analogy,0.34,,0.45,2.6,0.234
reductio_vs_analogy,0.38,,0.0,0.0,0.0
burden_vs_strawman,0.02,,0.2,1.3,0.052000000000000005
burden_vs_strawman,0.04,,0.25,1.1,0.05500000000000001
burden_vs_strawman,0.06,,0.2,1.1,0.04400000000000001
burden_vs_strawman,0.1,,0.25,1.35,0.0675
burden_vs_strawman,0.14,,0.25,2.0,0.1
burden_vs_strawman,0.18,,1.0,4.0,0.8
burden_vs_strawman,0.22,,0.6,2.4,0.288
burden_vs_strawman,0.26,,0.0,0.0,0.0
