combination,alpha,steps,success_rate,strength,steering_score
reductio_vs_concession,5.0,1,0.85,2.65,0.4505
reductio_vs_concession,5.4,1,0.85,2.75,0.4675
reductio_vs_concession,5.8,1,0.9,3.15,0.5670000000000001
reductio_vs_concession,6.2,1,0.9,3.25,0.5850000000000001
reductio_vs_concession,6.6,1,0.85,3.35,0.5695
reductio_vs_concession,7.0,1,0.45,1.8,0.162
burden_vs_strawman,7.4,1,0.85,3.1,0.527
burden_vs_strawman,7.8,1,0.9,3.35,0.6030000000000001
burden_vs_strawman,8.2,1,0.85,3.2,0.544
burden_vs_strawman,8.6,1,0.9,3.5,0.63
burden_vs_strawman,9.0,1,0.9,3.45,0.6210000000000001
burden_vs_strawman,9.4,1,0.95,3.8,0.722
burden_vs_strawman,9.8,1,0.65,2.75,0.35750000000000004
burden_vs_strawman,10.2,1,0.7,3.0,0.42
burden_vs_reductio,7.4,1,0.0,0.5,0.0
burden_vs_reductio,7.8,1,0.0,0.0,0.0
reductio_vs_analogy,0.5,1,0.15,0.9,0.027
reductio_vs_analogy,1.0,1,0.25,1.25,0.0625
reductio_vs_analogy,1.4,1,0.3,1.5,0.09
reductio_vs_analogy,1.8,1,0.2,1.4,0.055999999999999994
reductio_vs_analogy,2.2,1,0.1,0.95,0.019000000000000003
reductio_vs_analogy,2.6,1,0.4,1.6,0.128
reductio_vs_analogy,3.0,1,0.2,1.3,0.052000000000000005
reductio_vs_analogy,3.4,1,0.15,1.1,0.033
reductio_vs_analogy,3.8,1,0.15,1.35,0.0405
reductio_vs_analogy,4.2,1,0.1,1.1,0.022000000000000006
reductio_vs_analogy,4.6,1,0.3,1.45,0.087
reductio_vs_analogy,5.2,1,0.3,1.6,0.096
empirical_vs_reductio,7.4,1,0.0,0.0,0.0
empirical_vs_reductio,5.0,1,1.0,3.9,0.78
empirical_vs_reductio,5.4,1,0.75,3.4,0.51
empirical_vs_reductio,5.8,1,0.25,1.3,0.065
empirical_vs_reductio,6.2,1,0.0,0.0,0.0
burden_vs_reductio,5.0,1,1.0,3.95,0.79
burden_vs_reductio,5.4,1,0.95,3.95,0.7505
burden_vs_reductio,5.8,1,0.8,3.2,0.512
burden_vs_reductio,6.2,1,0.35,1.45,0.10149999999999999
burden_vs_reductio,6.6,1,0.2,0.95,0.038000000000000006
burden_vs_reductio,7.0,1,0.15,1.3,0.039
burden_vs_reductio,0.5,1,0.7,2.75,0.385
burden_vs_reductio,1.0,1,0.8,3.05,0.488
burden_vs_reductio,1.4,1,0.75,3.05,0.4575
burden_vs_reductio,1.8,1,0.8,3.2,0.512
burden_vs_reductio,2.2,1,0.75,2.9,0.43499999999999994
burden_vs_reductio,2.6,1,0.85,3.35,0.5695
burden_vs_reductio,3.0,1,0.85,3.35,0.5695
burden_vs_reductio,3.4,1,0.95,3.45,0.6555
burden_vs_reductio,3.8,1,1.0,3.8,0.76
burden_vs_reductio,4.2,1,1.0,4.0,0.8
burden_vs_reductio,4.6,1,1.0,4.0,0.8
burden_vs_reductio,5.2,1,1.0,3.9,0.78
reductio_vs_concession,7.4,1,0.0,0.2,0.0
reductio_vs_concession,7.8,1,0.05,0.15,0.0015
reductio_vs_concession,8.2,1,0.0,0.0,0.0
precedent_vs_burden,0.5,1,0.5,2.1,0.21000000000000002
precedent_vs_burden,1.0,1,0.9,3.45,0.6210000000000001
precedent_vs_burden,1.4,1,0.95,3.75,0.7124999999999999
precedent_vs_burden,1.8,1,1.0,4.0,0.8
precedent_vs_burden,2.2,1,0.95,3.85,0.7314999999999999
precedent_vs_burden,2.6,1,1.0,3.95,0.79
precedent_vs_burden,3.0,1,1.0,3.95,0.79
precedent_vs_burden,3.4,1,1.0,3.9,0.78
precedent_vs_burden,3.8,1,1.0,4.05,0.8099999999999999
precedent_vs_burden,4.2,1,0.95,3.8,0.722
